Codigo,n,k,t,Taxa,Encode_ms,Decode_limpo_ms,Decode_erros_ms,Total_ms
"BCH(7,4)",7,4,1,0.571,0.042034,0.076844,0.125498,0.167532
"BCH(15,7)",15,7,2,0.467,0.061410,0.077121,0.162829,0.224239
"BCH(127,64)",127,64,10,0.504,0.060807,0.123082,0.427859,0.488666
"BCH(255,139)",255,139,15,0.545,0.051684,1.440916,0.447388,0.499072
