perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,ber,kdr
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-5.0,36.048818897637794,42.92283464566929
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-3.0,31.000787401574804,40.35275590551181
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-1.0,25.517322834645668,37.97716535433071
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,1.0,19.999212598425196,34.939370078740154
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,3.0,15.08503937007874,32.304724409448816
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,5.0,10.9,25.407086614173227
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,7.0,7.473228346456693,10.34488188976378
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,9.0,5.105511811023622,1.9645669291338583
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,11.0,3.3661417322834644,0.1031496062992126
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,13.0,2.315748031496063,0.03228346456692913
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,15.0,1.4866141732283464,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,17.0,0.9196850393700787,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,19.0,0.621259842519685,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,21.0,0.40708661417322833,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,23.0,0.2543307086614173,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,25.0,0.15433070866141732,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-5.0,35.90236220472441,42.99370078740157
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-3.0,30.773228346456694,40.420472440944884
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-1.0,25.233070866141734,37.61417322834646
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,1.0,19.69763779527559,34.85669291338583
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,3.0,14.330708661417322,31.54015748031496
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,5.0,10.38503937007874,23.25748031496063
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,7.0,6.970866141732284,7.738582677165354
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,9.0,4.673228346456693,1.162992125984252
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,11.0,3.1385826771653544,0.18346456692913385
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,13.0,1.9275590551181103,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,15.0,1.2456692913385827,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,17.0,0.8086614173228347,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,19.0,0.46692913385826773,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,21.0,0.3291338582677165,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,23.0,0.18976377952755905,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,25.0,0.12598425196850394,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-5.0,37.89291338582677,43.95826771653543
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-3.0,33.23779527559055,41.346456692913385
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-1.0,27.88267716535433,39.016535433070864
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,1.0,22.175590551181102,35.92283464566929
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,3.0,16.91968503937008,33.3007874015748
