SNR_dB,BPSK_BMR,BPSK_KDR,QPSK_BMR,QPSK_KDR
-10.00,44.5346,47.4858,44.5992,47.3283
-7.65,41.5756,45.6465,41.4969,45.7110
-5.29,36.8260,43.3063,36.8646,43.3260
-2.94,31.3787,40.4882,31.1016,40.5677
-0.59,24.6331,37.2614,24.8307,37.2315
1.76,18.5394,34.1102,18.4559,34.1409
4.12,12.8969,29.7591,12.7748,29.3394
6.47,8.5276,15.9693,8.4606,14.9551
8.82,5.4575,2.6512,5.4000,3.4055
11.18,3.3142,0.2126,3.4598,0.2937
13.53,2.0472,0.0000,2.0457,0.0000
15.88,1.2079,0.0000,1.3008,0.0000
18.24,0.7228,0.0000,0.6819,0.0000
20.59,0.4449,0.0000,0.4606,0.0000
22.94,0.2394,0.0000,0.2449,0.0000
25.29,0.1433,0.0000,0.1559,0.0000
27.65,0.0945,0.0000,0.0898,0.0000
30.00,0.0535,0.0000,0.0394,0.0000
