distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,kdr_eve_antes,kdr_eve_pos_bch,kdr_eve_pos_sha256
0.10,1.60,0.2100,0.2100,0.11,50.00,3.72,49.52
0.20,3.20,0.0202,0.0202,0.11,50.00,5.23,49.98
0.50,8.00,0.0018,0.0018,0.06,50.00,5.55,50.12
1.00,16.00,0.0000,0.0000,0.09,50.00,5.52,50.04
2.00,32.00,0.0000,0.0000,0.14,50.00,5.59,49.88
5.00,80.00,0.0000,0.0000,0.09,50.00,5.69,49.89
10.00,160.00,0.0000,0.0000,0.14,50.00,5.70,49.93
