SNR_dB,BPSK_antes,BPSK_pos_rec,BPSK_pos_amp,QPSK_antes,QPSK_pos_rec,QPSK_pos_amp
-10.00,43.1362,46.5764,50.1617,43.0937,46.4953,49.8105
-7.65,39.3906,44.5614,49.9875,39.1819,44.4457,49.9312
-5.29,33.6472,42.0685,49.8840,33.9528,41.8055,49.8082
-2.94,27.4661,38.7213,50.1965,27.3370,38.5024,50.1602
-0.59,20.3197,34.7913,49.9613,20.2142,35.2031,49.8070
1.76,13.9465,31.0622,48.6758,14.0803,31.1118,48.8223
4.12,8.9055,17.4701,29.0113,8.9764,18.0976,30.2227
6.47,5.4913,2.5157,4.3246,5.4843,3.1354,5.2711
8.82,3.3472,0.1520,0.2484,3.2039,0.2142,0.4086
11.18,1.9291,0.0000,0.0000,1.9780,0.0000,0.0000
13.53,1.1512,0.0000,0.0000,1.1102,0.0000,0.0000
15.88,0.6055,0.0000,0.0000,0.6220,0.0000,0.0000
18.24,0.3693,0.0000,0.0000,0.3874,0.0000,0.0000
20.59,0.1898,0.0000,0.0000,0.2213,0.0000,0.0000
22.94,0.1299,0.0000,0.0000,0.1299,0.0000,0.0000
25.29,0.0756,0.0000,0.0000,0.0803,0.0000,0.0000
27.65,0.0441,0.0000,0.0000,0.0457,0.0000,0.0000
30.00,0.0228,0.0000,0.0000,0.0228,0.0000,0.0000
