SNR_dB,σ=0.5000_BER,σ=0.5000_KDR,σ=1.0000_BER,σ=1.0000_KDR
-5.00,39.8000,43.2667,28.8000,34.8000
-2.78,39.1333,42.8667,23.6000,27.4000
-0.56,33.0000,36.8000,15.6667,17.0000
1.67,26.5333,32.0000,12.0667,10.1333
3.89,21.5333,25.8667,7.4667,2.6000
6.11,15.0000,14.8000,5.4667,0.7333
8.33,10.5333,8.5333,3.2000,0.4667
10.56,7.1333,4.1333,1.8667,0.0000
12.78,4.5333,0.7333,0.8667,0.0000
15.00,3.3333,0.3333,0.5333,0.0000
