SNR_dB,BER,KDR
-10.00,44.4512,47.4937
-7.65,41.5969,45.7165
-5.29,37.0047,43.5102
-2.94,31.3654,40.8150
-0.59,24.5614,37.1181
1.76,18.4969,34.2339
4.12,12.6961,29.1370
6.47,8.4622,16.0638
8.82,5.3961,2.7850
11.18,3.3819,0.0331
13.53,2.0638,0.0000
15.88,1.2724,0.0000
18.24,0.7260,0.0000
20.59,0.3976,0.0000
22.94,0.2567,0.0000
25.29,0.1307,0.0000
27.65,0.1016,0.0000
30.00,0.0551,0.0000
