distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,kdr_eve_antes,kdr_eve_pos_bch,kdr_eve_pos_sha256
0.10,1.60,0.2100,0.2100,0.19,50.00,0.25,0.46
0.20,3.20,0.0202,0.0202,0.14,50.00,2.65,4.46
0.50,8.00,0.0018,0.0018,0.08,50.00,2.73,4.73
1.00,16.00,0.0000,0.0000,0.06,50.00,3.09,5.28
2.00,32.00,0.0000,0.0000,0.05,50.00,2.84,4.74
5.00,80.00,0.0000,0.0000,0.12,50.00,2.87,4.90
10.00,160.00,0.0000,0.0000,0.00,50.00,3.33,5.55
