distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,correlacao_h_alice_bob,correlacao_h_alice_eve
0.10,1.60,0.2100,0.2100,48.64,0.9092,0.1998
0.20,3.20,0.0202,0.0202,48.61,0.9092,0.0193
0.50,8.00,0.0018,0.0018,48.70,0.9092,0.0034
1.00,16.00,0.0000,0.0000,48.43,0.9091,-0.0002
2.00,32.00,0.0000,0.0000,48.25,0.9089,-0.0003
5.00,80.00,0.0000,0.0000,48.39,0.9091,0.0013
10.00,160.00,0.0000,0.0000,48.45,0.9089,0.0017
