perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,bmr,kdr
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-5.0,36.10787401574803,43.1
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-3.0,31.121259842519684,40.5244094488189
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-1.0,25.81023622047244,37.98661417322835
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,1.0,20.031496062992126,34.78031496062992
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,3.0,14.939370078740158,31.88267716535433
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,5.0,10.790551181102362,24.769291338582676
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,7.0,7.5,10.218897637795276
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,9.0,5.15748031496063,2.1543307086614174
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,11.0,3.3929133858267715,0.1125984251968504
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,13.0,2.2818897637795277,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,15.0,1.531496062992126,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,17.0,0.9834645669291339,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,19.0,0.6078740157480315,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,21.0,0.37480314960629924,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,23.0,0.2440944881889764,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,25.0,0.15118110236220472,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-5.0,35.94881889763779,42.96929133858268
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-3.0,31.03070866141732,40.40787401574803
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-1.0,25.116535433070865,37.63228346456693
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,1.0,19.49527559055118,34.50157480314961
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,3.0,14.51968503937008,31.514173228346458
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,5.0,10.23464566929134,23.296062992125986
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,7.0,6.910236220472441,7.967716535433071
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,9.0,4.628346456692913,0.6606299212598425
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,11.0,3.0118110236220472,0.13228346456692913
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,13.0,1.904724409448819,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,15.0,1.2220472440944883,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,17.0,0.7929133858267716,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,19.0,0.4921259842519685,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,21.0,0.33858267716535434,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,23.0,0.20236220472440944,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,25.0,0.1173228346456693,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-5.0,37.60236220472441,44.264566929133856
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-3.0,33.17007874015748,41.3007874015748
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-1.0,27.845669291338584,38.63622047244095
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,1.0,22.130708661417323,35.83149606299212
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,3.0,16.58976377952756,32.96299212598425
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,5.0,11.871653543307087,27.87007874015748
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,7.0,8.426771653543307,15.422834645669292
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,9.0,5.6559055118110235,3.320472440944882
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,11.0,3.6763779527559057,0.2062992125984252
