perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,bmr,kdr
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,13.0,2.4015748031496065,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,15.0,1.5062992125984251,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,17.0,0.9952755905511811,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,19.0,0.6031496062992125,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,21.0,0.3968503937007874,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,23.0,0.2220472440944882,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,25.0,0.16220472440944883,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-5.0,37.0259842519685,43.36929133858268
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-3.0,32.85748031496063,41.32913385826772
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-1.0,26.948031496062992,38.4496062992126
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,1.0,21.47007874015748,35.499212598425196
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,3.0,16.371653543307087,32.91496062992126
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,5.0,11.726771653543308,27.903937007874017
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,7.0,8.26535433070866,14.31259842519685
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,9.0,5.550393700787402,2.8078740157480313
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,11.0,3.636220472440945,0.2559055118110236
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,13.0,2.3244094488188978,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,15.0,1.5590551181102361,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,17.0,0.9511811023622048,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,19.0,0.621259842519685,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,21.0,0.384251968503937,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,23.0,0.2566929133858268,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,25.0,0.18503937007874016,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-5.0,36.008661417322834,43.088976377952754
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-3.0,30.976377952755904,40.55984251968504
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,-1.0,25.371653543307087,37.6
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,1.0,20.01496062992126,34.98425196850393
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,3.0,14.820472440944881,31.851181102362204
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,5.0,10.67716535433071,25.08188976377953
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,7.0,7.326771653543307,9.922047244094488
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,9.0,5.0409448818897635,1.7913385826771653
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,11.0,3.3031496062992125,0.11653543307086614
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,13.0,2.321259842519685,0.030708661417322834
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,15.0,1.4440944881889763,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,17.0,0.9677165354330709,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,19.0,0.6511811023622047,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,21.0,0.4047244094488189,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,23.0,0.23543307086614174,0.0
nb_iot,10.0,0.9,0.12,0.5,21.485917317405868,8.333333333333334,0.9545243614701432,25.0,0.14960629921259844,0.0
