atraso_ms,correlacao_temporal,correlacao_total,kdr_bob,correlacao_h_alice_bob,correlacao_h_alice_eve
0.00,1.0000,0.0018,47.88,0.9559,0.0027
0.10,1.0000,0.0018,47.92,0.9560,0.0021
0.50,0.9997,0.0018,47.82,0.9557,0.0026
1.00,0.9988,0.0018,47.94,0.9558,0.0014
2.00,0.9951,0.0018,48.03,0.9558,0.0024
5.00,0.9698,0.0018,48.01,0.9558,0.0032
10.00,0.8818,0.0016,47.94,0.9557,0.0022
