SNR_dB,σ=0.5000_BER,σ=0.5000_KDR,σ=1.0000_BER,σ=1.0000_KDR
-5.00,40.7333,42.2667,27.7333,33.4000
-2.78,37.1333,40.4667,23.4000,28.6000
-0.56,32.7333,37.4667,14.9333,15.6667
1.67,26.0000,31.8667,10.1333,8.0667
3.89,21.5333,25.9333,6.9333,3.2667
6.11,16.0000,17.4000,4.4000,0.9333
8.33,9.8667,6.0000,3.8667,0.0000
10.56,6.6667,3.4667,2.2667,0.0000
12.78,5.4000,1.6000,1.1333,0.0000
15.00,1.8000,0.3333,0.8667,0.0000
