distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,kdr_eve_antes,kdr_eve_pos_bch,kdr_eve_pos_sha256
0.10,1.60,0.2100,0.2100,0.00,0.87,0.00,0.00
0.20,3.20,0.0202,0.0202,0.00,1.37,0.00,0.00
0.50,8.00,0.0018,0.0018,0.00,1.52,0.00,0.00
1.00,16.00,0.0000,0.0000,0.00,1.51,0.00,0.00
2.00,32.00,0.0000,0.0000,0.00,1.48,0.00,0.00
5.00,80.00,0.0000,0.0000,0.00,1.58,0.00,0.00
10.00,160.00,0.0000,0.0000,0.00,1.49,0.00,0.00
