perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,bmr,kdr
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-5.0,36.2,43.13700787401575
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-3.0,31.060629921259842,40.460629921259844
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,-1.0,25.62283464566929,37.67086614173228
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,1.0,20.1244094488189,34.91023622047244
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,3.0,15.081889763779527,32.08818897637795
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,5.0,10.864566929133858,25.64015748031496
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,7.0,7.486614173228347,10.527559055118111
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,9.0,5.069291338582677,1.6330708661417324
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,11.0,3.37007874015748,0.07480314960629922
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,13.0,2.222834645669291,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,15.0,1.4937007874015749,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,17.0,1.0015748031496063,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,19.0,0.5866141732283464,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,21.0,0.384251968503937,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,23.0,0.2559055118110236,0.0
pessoa_andando,5.0,2.4,0.15,0.3,16.114437988054405,11.11111111111111,0.9398301127377113,25.0,0.18346456692913385,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-5.0,35.96299212598425,42.855905511811024
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-3.0,30.4503937007874,40.27007874015748
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,-1.0,25.26062992125984,37.42125984251968
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,1.0,19.6251968503937,34.911023622047246
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,3.0,14.60236220472441,31.811023622047244
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,5.0,10.001574803149607,22.308661417322835
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,7.0,7.00236220472441,8.671653543307087
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,9.0,4.678740157480315,1.1149606299212598
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,11.0,3.0818897637795275,0.09370078740157481
