atraso_ms,correlacao_temporal,correlacao_total,kdr_bob,correlacao_h_alice_bob,correlacao_h_alice_eve
0.00,1.0000,0.0018,47.84,0.9558,0.0030
0.10,1.0000,0.0018,48.07,0.9557,0.0014
0.50,0.9997,0.0018,47.84,0.9557,0.0019
1.00,0.9988,0.0018,47.90,0.9558,0.0014
2.00,0.9951,0.0018,47.93,0.9558,0.0009
5.00,0.9698,0.0018,47.93,0.9558,0.0009
10.00,0.8818,0.0016,47.84,0.9557,0.0005
