SNR_dB,BER,KDR
-10.00,45.5333,47.2000
-5.56,38.6000,43.4667
-1.11,27.8667,34.0667
3.33,14.5333,14.7333
7.78,6.8667,1.8667
12.22,3.2000,0.3333
16.67,1.0667,0.0000
21.11,0.5333,0.0000
25.56,0.1333,0.0000
30.00,0.1333,0.0000
