Codigo,n,k,t,Taxa,Encode_ms,Decode_limpo_ms,Decode_erros_ms,Total_ms
"BCH(7,4)",7,4,1,0.571,0.047431,0.077837,0.126994,0.174425
"BCH(15,7)",15,7,2,0.467,0.057554,0.066824,0.138872,0.196427
"BCH(127,64)",127,64,10,0.504,0.059468,0.075800,0.383466,0.442935
"BCH(255,139)",255,139,15,0.545,0.055751,1.570294,0.434851,0.490602
