atraso_ms,correlacao_temporal,correlacao_total,kdr_eve_pos_bch
0.00,1.0000,0.0018,94.40
0.10,1.0000,0.0018,94.44
0.50,0.9997,0.0018,94.37
1.00,0.9988,0.0018,94.50
2.00,0.9951,0.0018,94.45
5.00,0.9698,0.0018,94.51
10.00,0.8818,0.0016,94.62
