SNR_dB,KDR_antes,KDR_pos_rec,KDR_pos_amp
-10.00,44.2000,46.2667,49.4570
-5.56,35.5333,40.0667,47.4961
-1.11,21.0667,23.4000,29.3281
3.33,11.2667,9.9333,13.3516
7.78,4.5333,0.7333,1.0000
12.22,1.4667,0.0000,0.0000
16.67,0.4667,0.0000,0.0000
21.11,0.0000,0.0000,0.0000
25.56,0.0000,0.0000,0.0000
30.00,0.0667,0.0000,0.0000
