SNR_dB,BMR,KDR
-10.00,44.4331,47.2654
-7.65,41.6701,45.6780
-5.29,36.9575,43.4291
-2.94,31.1701,40.5394
-0.59,24.8811,37.2740
1.76,18.3276,34.2213
4.12,12.7094,29.6299
6.47,8.5157,16.0780
8.82,5.3614,2.3866
11.18,3.4346,0.0291
13.53,1.9496,0.0000
15.88,1.2213,0.0000
18.24,0.7346,0.0000
20.59,0.4110,0.0000
22.94,0.2425,0.0000
25.29,0.1307,0.0000
27.65,0.0906,0.0000
30.00,0.0669,0.0000
