distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,kdr_eve_antes,kdr_eve_pos_bch,kdr_eve_pos_sha256
0.10,1.60,0.2100,0.2100,0.11,3.88,0.29,0.43
0.20,3.20,0.0202,0.0202,0.11,5.31,1.91,3.23
0.50,8.00,0.0018,0.0018,0.11,5.59,2.61,4.33
1.00,16.00,0.0000,0.0000,0.11,5.57,2.59,4.44
2.00,32.00,0.0000,0.0000,0.11,5.55,2.92,4.96
5.00,80.00,0.0000,0.0000,0.11,5.65,3.35,5.71
10.00,160.00,0.0000,0.0000,0.11,5.49,2.66,4.52
