atraso_ms,correlacao_temporal,correlacao_total,kdr_eve_pos_bch
0.00,1.0000,0.0018,2.59
0.10,1.0000,0.0018,3.02
0.50,0.9997,0.0018,2.55
1.00,0.9988,0.0018,3.27
2.00,0.9951,0.0018,2.66
5.00,0.9698,0.0018,3.38
10.00,0.8818,0.0016,3.07
