SNR_dB,BER,KDR
-10.00,45.2667,47.6000
-5.56,36.0000,42.1333
-1.11,26.8667,32.6000
3.33,13.6667,13.3333
7.78,7.0000,2.7333
12.22,3.0667,0.0000
16.67,1.0667,0.0000
21.11,0.4667,0.0000
25.56,0.2000,0.0000
30.00,0.0667,0.0000
