atraso_ms,correlacao_temporal,correlacao_total,kdr_bob,correlacao_h_alice_bob,correlacao_h_alice_eve
0.00,1.0000,0.0018,47.79,0.9558,0.0024
0.10,1.0000,0.0018,48.06,0.9559,0.0014
0.50,0.9997,0.0018,48.02,0.9558,0.0017
1.00,0.9988,0.0018,47.95,0.9557,0.0008
2.00,0.9951,0.0018,47.88,0.9557,0.0019
5.00,0.9698,0.0018,47.85,0.9557,0.0022
10.00,0.8818,0.0016,47.81,0.9558,0.0010
