distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,correlacao_h_alice_bob,correlacao_h_alice_eve
0.10,1.60,0.2100,0.2100,48.46,0.9090,0.2012
0.20,3.20,0.0202,0.0202,48.46,0.9093,0.0182
0.50,8.00,0.0018,0.0018,48.65,0.9091,0.0025
1.00,16.00,0.0000,0.0000,48.69,0.9091,-0.0017
2.00,32.00,0.0000,0.0000,48.44,0.9092,0.0014
5.00,80.00,0.0000,0.0000,48.48,0.9091,0.0003
10.00,160.00,0.0000,0.0000,48.51,0.9092,0.0012
