distancia_eve_m,separacao_lambda_2,correlacao_espacial,correlacao_alice_eve,kdr_bob,kdr_eve_antes,kdr_eve_pos_bch,kdr_eve_pos_sha256
0.10,1.60,0.2100,0.2100,0.10,50.00,96.25,49.96
0.20,3.20,0.0202,0.0202,0.06,50.00,94.87,50.08
0.50,8.00,0.0018,0.0018,0.07,50.00,94.41,50.00
1.00,16.00,0.0000,0.0000,0.06,50.00,94.37,49.86
2.00,32.00,0.0000,0.0000,0.13,50.00,94.36,50.02
5.00,80.00,0.0000,0.0000,0.11,50.00,94.42,50.03
10.00,160.00,0.0000,0.0000,0.06,50.00,94.36,49.84
